model	res1Emo	res2Emo
Agent Emotion	[0.7112646459586487, 0.33503883739587303, 0.4292655710000961]	[0.6452299870721812, 0.4385141227478808, 0.5112781876834467]
translate	[0.5159843091068944, 0.5160546711117904, 0.5183372523351955]	[0.555611171514121, 0.5795032611929002, 0.5742961839527542]
bb	[0.5991394235914951, 0.6213267951674974, 0.6210638906830177]	[0.5967429874918765, 0.6130771444676658, 0.630074570443848]
unTuned	[0.5991394235914951, 0.6213267951674974, 0.6210638906830177]	[0.5967429874918765, 0.6130771444676658, 0.630074570443848]
