Approach	rougeL	meteor	bleu
translate	0.11139925450788837	0.11121837929157999	0.007229797335275206
untuned	0.10215812981131572	0.10664455774998595	0.004769725268736008
bb	0.12986079184035582	0.1739254491121497	0.015804791978244533
